Dataset,Model,Feature_Extraction,ROC_AUC,PR_AUC,MCC,F1_Riesgo,Precision,Recall,Specificity
Ventana_50_Extendida,RandomForest,One-Hot,0.5924494039773892,0.261139257363757,0.0,0.0,0.0,0.0,1.0
Ventana_50_Extendida,RandomForest,K-mers,0.6129709359654005,0.2821355533512433,-0.019267327262875993,0.0,0.0,0.0,0.998330550918197
Ventana_50_Extendida,MLP,One-Hot,0.5229085512891857,0.2302341809897574,0.027520816597376204,0.125,0.2641509433962264,0.08187134502923976,0.9348914858096828
Ventana_50_Extendida,MLP,K-mers,0.5451678723798924,0.2472036101741352,-0.006911254372941981,0.13008130081300812,0.21333333333333335,0.0935672514619883,0.9015025041736227
Ventana_50_Extendida,Bi-LSTM,Int_Encoding,0.60049235097591,0.28095703851379034,0.0,0.3681462140992167,0.2256,1.0,0.0
Ventana_50_Extendida,DNABERT-2-117M,NormalTrainer,0.6357628509466032,0.3110116886215199,0.08517039078955188,0.12048192771084339,0.4,0.07092198581560284,0.96900826446281
Ventana_50_Extendida,DNABERT-2-117M,WeightedTrainer,0.6154094132817536,0.2800492742536989,0.12818619028930145,0.38392857142857145,0.28013029315960913,0.6099290780141844,0.5433884297520661
Ventana_50_Reducida,RandomForest,One-Hot,0.6336626222878068,0.36157326508530807,0.0,0.0,0.0,0.0,1.0
Ventana_50_Reducida,RandomForest,K-mers,0.6462124938514511,0.3715423320098659,0.05256503351952932,0.11881188118811879,0.3870967741935484,0.07017543859649122,0.955607476635514
Ventana_50_Reducida,MLP,One-Hot,0.5532259386784719,0.3088896339563576,0.06369260600118723,0.2746478873239437,0.34513274336283184,0.22807017543859648,0.8271028037383178
Ventana_50_Reducida,MLP,K-mers,0.5888943542657267,0.3479624898157983,0.04969679579954557,0.2580645161290323,0.3333333333333333,0.21052631578947367,0.8317757009345794
Ventana_50_Reducida,Bi-LSTM,Int_Encoding,0.6371606393317205,0.38397157694902584,0.08311970887449585,0.4570502431118314,0.296218487394958,1.0,0.023323615160349854
Ventana_50_Reducida,DNABERT-2-117M,NormalTrainer,0.6719289539524017,0.4053966479378549,0.05527603936880801,0.16574585635359118,0.375,0.10638297872340426,0.9271137026239067
Ventana_50_Reducida,DNABERT-2-117M,WeightedTrainer,0.6616525029464673,0.3880357891605336,0.22215856192406883,0.48725212464589235,0.4056603773584906,0.6099290780141844,0.6326530612244898
Ventana_500_Extendida,RandomForest,One-Hot,0.5685352780950708,0.26249175669643754,0.0,0.0,0.0,0.0,1.0
Ventana_500_Extendida,RandomForest,K-mers,0.6640453387224321,0.31776754791012196,0.0,0.0,0.0,0.0,1.0
Ventana_500_Extendida,MLP,One-Hot,0.565679641507776,0.27371403721313486,5.371225137567464e-05,0.042328042328042326,0.2222222222222222,0.023391812865497075,0.9766277128547579
Ventana_500_Extendida,MLP,K-mers,0.6529986624881625,0.32736947696309393,0.11428181397086791,0.16113744075829384,0.425,0.09941520467836257,0.9616026711185309
Ventana_500_Extendida,Bi-LSTM,Int_Encoding,0.5081252564327998,0.23839354361052273,0.0,0.3681462140992167,0.2256,1.0,0.0
Ventana_500_Extendida,DNABERT-2-117M,NormalTrainer,0.7643822167516557,0.4426973807084123,0.0,0.0,0.0,0.0,1.0
Ventana_500_Extendida,DNABERT-2-117M,WeightedTrainer,0.7681994021452435,0.45043104649808235,0.39434905059371356,0.547486033519553,0.45161290322580644,0.6950354609929078,0.7541322314049587
Ventana_500_Reducida,RandomForest,One-Hot,0.5641566923539378,0.3278296160518358,0.0,0.0,0.0,0.0,1.0
Ventana_500_Reducida,RandomForest,K-mers,0.7470145379023883,0.5034838649240815,0.14773871721676426,0.1616161616161616,0.5925925925925926,0.0935672514619883,0.9742990654205608
Ventana_500_Reducida,MLP,One-Hot,0.595527955402525,0.3681148868326123,0.10325289475174426,0.19909502262443435,0.44,0.1286549707602339,0.9345794392523364
Ventana_500_Reducida,MLP,K-mers,0.7209241952232606,0.46202103884473744,0.3048638708014311,0.477124183006536,0.5407407407407407,0.4269005847953216,0.8551401869158879
Ventana_500_Reducida,Bi-LSTM,Int_Encoding,0.5064408742220292,0.3193600154277979,0.0,0.45119999999999993,0.29132231404958675,1.0,0.0
Ventana_500_Reducida,DNABERT-2-117M,NormalTrainer,0.8909703699108823,0.7497528521334436,0.6047612206626852,0.6835443037974684,0.84375,0.574468085106383,0.956268221574344
Ventana_500_Reducida,DNABERT-2-117M,WeightedTrainer,0.8782230217314889,0.7431760287399515,0.6558237296876407,0.7360000000000001,0.8440366972477065,0.6524822695035462,0.9504373177842566
